tourney,year,location,lng,lat,surface,money
Sao Paulo,1976,Sao Paulo,-46.5952992,-23.682412399999997,Carpet,226378
Bangalore,1976,Bangalore,77.6309395,12.9539974,Clay,226378
Buenos Aires,1976,Buenos Aires,-58.43329845,-34.615823750000004,Clay,226378
Johannesburg,1976,Johannesburg,28.04002455,-26.1715215,Hard,679134
Santiago,1976,Santiago,-70.62983129999999,-33.47278795,Clay,158465
WCT Challenge Cup,1976,"Las Vegas, United States",-115.23834850000001,36.25512295,Carpet,996063
Sydney Outdoor,1976,Sydney,150.93197475,-33.84824395,Grass,339567
Zurich,1976,Zurich,8.536715,47.377455,Hard,113189
Australian Open,1977,Melbourne,145.0531353,-37.9725665,Grass,860589
Adelaide,1977,Adelaide,138.61115984999998,-35.00076695,Grass,322721
Birmingham WCT,1977,Birmingham,-86.85013694999998,33.5312374,Carpet,430295
Baltimore,1977,Baltimore,-76.62049675,39.284706400000005,Carpet,430295
Pepsi Grand Slam,1977,Boca Raton,-80.11736545,26.3728294,Clay,860589
Philadelphia WCT,1977,Philadelphia,-75.11802829999998,40.002497999999996,Carpet,860589
Little Rock,1977,Little Rock,-92.3379275,34.7240049,Hard,215147
Richmond WCT,1977,Richmond,-77.49326145,37.52466095,Carpet,430295
Dayton,1977,Dayton,-84.20215735,39.8113284,Carpet,215147
Miami,1977,Miami,-80.22945845,25.7824075,Clay,215147
Mexico City WCT,1977,Mexico City,-99.14361265,19.3907336,Carpet,430295
San Jose,1977,San Jose,-121.81741295,37.2968617,Carpet,215147
Ocean City,1977,Ocean City,-75.06768779999999,38.3878445,Carpet,430295
Toronto WCT,1977,Toronto,-79.37805804999998,43.7182412,Carpet,430295
Palm Springs,1977,Palm Springs,-116.563947,33.7716325,Hard,968163
Monterrey WCT,1977,Monterrey,-100.30309615,25.64879495,Carpet,430295
Johannesburg,1977,Johannesburg,28.04002455,-26.1715215,Hard,645442
Hampton,1977,Hampton,-76.29245895000003,37.02300155,Carpet,215147
St. Louis WCT,1977,St. Louis,-90.243462,38.65310045,Carpet,430295
Helsinki,1977,Helsinki,25.01868035,60.110163799999995,Carpet,215147
Rotterdam WCT,1977,Rotterdam,4.490406299999999,51.92797225,Carpet,430295
La Costa,1977,Carlsbad,-117.287802,33.12151955,Hard,430295
Cairo,1977,Cairo,31.25846435,30.05948845,Clay,129088
London WCT,1977,London,-0.10159865,51.52864165,Carpet,430295
Nice,1977,Nice,7.252817049999999,43.70319045,Clay,215147
Los Angeles PSW,1977,Los Angeles,-118.4117325,34.020478999999995,Carpet,645442
Jackson,1977,Jackson,-90.1937874,32.310328399999996,Carpet,249571
Monte Carlo WCT,1977,Monte Carlo,7.42597045,43.741053,Clay,430295
WCT Challenge Cup,1977,"Las Vegas, United States",-115.23834850000001,36.25512295,Carpet,430295
Murcia,1977,Murcia,-1.1271753,37.980532399999994,Clay,215147
Houston WCT,1977,Houston,-95.40129145,29.81717795,Clay,430295
Buenos Aires,1977,Buenos Aires,-58.43329845,-34.615823750000004,Clay,0
Denver,1977,Denver,-104.85511145,39.76433895,Carpet,430295
Florence,1977,Florence,11.2409679,43.77995815,Clay,129088
Charlotte WCT,1977,Charlotte,-80.83982895,35.20315345,Clay,430295
Virginia Beach,1977,Virginia Beach,-76.0126285,36.79566945000001,Clay,430295
Las Vegas,1977,Las Vegas,-115.23834850000001,36.25512295,Hard,1075736
Munich,1977,Munich,11.54183575,48.15491075,Clay,322721
Hamburg,1977,Hamburg,10.02768365,53.56728285,Clay,537868
Dallas WCT,1977,Dallas,-96.73154245,32.820664550000004,Carpet,860589
Rome,1977,Rome,12.5359979,41.9100711,Clay,645442
Dusseldorf,1977,Dusseldorf,6.814350200000001,51.23845475,Clay,322721
Roland Garros,1977,Paris,2.3470598999999996,48.85885895,Clay,1290884
Brussels,1977,Brussels,4.37538995,50.85497504999999,Clay,322721
Nottingham,1977,Nottingham,-1.17006175,52.9540225,Grass,430295
Berlin,1977,Berlin,13.42473175,52.5068441,Clay,215147
London - Queen's Club,1977,London,-0.10159865,51.52864165,Grass,430295
Wimbledon,1977,London,-0.10159865,51.52864165,Grass,860589
Gstaad,1977,Gstaad,7.286546450000001,46.4722248,Clay,322721
Bastad,1977,Bastad,12.85985845,56.4277899,Clay,322721
Newport,1977,Newport,-71.29900634999998,41.4989764,Grass,215147
Kitzbuhel,1977,Kitzbuhel,12.425144900000001,47.436415000000004,Clay,322721
Cincinnati,1977,Cincinnati,-84.54040144999998,39.13634005,Clay,430295
Hilversum,1977,Hilversum,5.1605481,52.23157145,Clay,322721
Washington,1977,Washington,-120.88227695,47.27298575,Clay,537868
Louisville,1977,Louisville,-85.67677049999999,38.188805,Clay,537868
North Conway,1977,North Conway,-71.13036545,44.04565295,Clay,537868
South Orange,1977,South Orange,-74.25913405,40.748957399999995,Clay,322721
Indianapolis,1977,Indianapolis,-86.13274999999999,39.7797845,Clay,537868
Montreal - Toronto,1977,Montreal,-73.73030250000001,45.55804205,Clay,537868
Boston,1977,Boston,-70.97028399999998,42.31434994999999,Clay,537868
US Open,1977,New York,-73.979681,40.6974881,Clay,1075736
Laguna Niguel,1977,Laguna Niguel,-117.70634505,33.52925385,Hard,107574
Tournament of Champions WCT,1977,New York,-73.979681,40.6974881,Hard,860589
Los Angeles,1977,Los Angeles,-118.4117325,34.020478999999995,Hard,430295
Paris,1977,Paris,2.3470598999999996,48.85885895,Clay,215147
Aix en Provence,1977,Aix en Provence,5.387946999999999,43.535974,Clay,215147
San Francisco,1977,San Francisco,-122.7278025,37.7848269,Carpet,537868
Tehran,1977,Tehran,51.3498186,35.6968141,Clay,645442
Maui,1977,Maui,-156.33798269999997,20.80299575,Hard,430295
Brisbane,1977,Brisbane,152.99319645,-27.3821429,Grass,215147
Madrid,1977,Madrid,-3.67953665,40.437954299999994,Clay,430295
Sydney Indoor,1977,Sydney,150.93197475,-33.84824395,Hard,537868
Barcelona,1977,Barcelona,2.14876785,41.39479005,Clay,430295
Perth,1977,Perth,115.96153565,-32.040063950000004,Carpet,215147
Vienna,1977,Vienna,16.38005995,48.2206849,Hard,215147
Basel,1977,Basel,7.59445995,47.55459664999999,Carpet,215147
Cologne,1977,Cologne,6.96732235,50.95770284999999,Hard,215147
Paris Indoor,1977,Paris,2.3470598999999996,48.85885895,Hard,215147
Tokyo Outdoor,1977,Tokyo,145.02823855,28.16176585,Clay,430295
Stockholm,1977,Stockholm,17.982052499999998,59.32614194999999,Hard,645442
Hong Kong,1977,Hong Kong,114.1277,22.35272345,Hard,322721
Bogota,1977,Bogota,-74.107807,4.64829755,Clay,215147
WCT Challenge Cup,1977,Las Vegas,-115.23834850000001,36.25512295,Carpet,1376943
Santiago,1977,Santiago,-70.62983129999999,-33.47278795,Clay,215147
Manila,1977,Manila,120.9795598,14.5964983,Clay,322721
Buenos Aires,1977,Buenos Aires,-58.43329845,-34.615823750000004,Clay,322721
Taipei,1977,"Taipei, Chinese Taipei",121.50637795,25.0172264,Carpet,215147
Oviedo,1977,Oviedo,-81.18788795,28.6593441,Carpet,430295
Bombay,1977,Bombay,72.88118614999998,19.08225075,Clay,215147
Adelaide-2,1977,Adelaide,138.61115984999998,-35.00076695,Grass,430295
Sydney Outdoor,1977,Sydney,150.93197475,-33.84824395,Grass,753015
Australian Open-2,1977,Melbourne,145.0531353,-37.9725665,Grass,860589
Birmingham WCT,1978,Birmingham,-86.85013694999998,33.5312374,Carpet,704807
Baltimore,1978,Baltimore,-76.62049675,39.284706400000005,Carpet,402747
Pepsi Grand Slam,1978,Boca Raton,-80.11736545,26.3728294,Clay,1006867
Sarasota,1978,Sarasota,-82.5379304,27.3358671,Carpet,201373
Philadelphia WCT,1978,Philadelphia,-75.11802829999998,40.002497999999996,Carpet,906180
Mexico City,1978,Mexico City,-99.14361265,19.3907336,Carpet,201373
Richmond WCT,1978,Richmond,-77.49326145,37.52466095,Carpet,704807
Little Rock,1978,Little Rock,-92.3379275,34.7240049,Hard,201373
St. Louis WCT,1978,St. Louis,-90.243462,38.65310045,Carpet,704807
Palm Springs,1978,Palm Springs,-116.563947,33.7716325,Hard,906180
Denver,1978,Denver,-104.85511145,39.76433895,Carpet,503433
Lagos,1978,Lagos,3.28395955,6.548055099999999,Hard,201373
Miami,1978,Miami,-80.22945845,25.7824075,Carpet,201373
Cairo,1978,Cairo,31.25846435,30.05948845,Clay,153044
Las Vegas WCT,1978,Las Vegas,-115.23834850000001,36.25512295,Carpet,805493
Milan WCT,1978,Milan,9.177732249999998,45.46273385,Carpet,704807
Dayton,1978,Dayton,-84.20215735,39.8113284,Carpet,302060
Rotterdam WCT,1978,Rotterdam,4.490406299999999,51.92797225,Carpet,704807
Johannesburg,1978,Johannesburg,28.04002455,-26.1715215,Hard,302060
Monte Carlo WCT,1978,Monte Carlo,7.42597045,43.741053,Clay,704807
Guadalajara,1978,Guadalajara,-103.33541315,20.67379185,Clay,201373
Nice,1978,Nice,7.252817049999999,43.70319045,Clay,201373
Houston WCT,1978,Houston,-95.40129145,29.81717795,Clay,704807
San Jose,1978,San Jose,-121.81741295,37.2968617,Carpet,201373
Tulsa,1978,Tulsa,-95.87801045,36.1523015,Hard,201373
Las Vegas,1978,Las Vegas,-115.23834850000001,36.25512295,Hard,1006867
Nations Cup,1978,"Duesseldorf, Germany",6.814350200000001,51.23845475,Clay,805493
Dallas WCT,1978,Dallas,-96.73154245,32.820664550000004,Carpet,805493
Hamburg,1978,Hamburg,10.02768365,53.56728285,Clay,704807
Florence,1978,Florence,11.2409679,43.77995815,Clay,201373
Rome,1978,Rome,12.5359979,41.9100711,Clay,704807
Munich,1978,Munich,11.54183575,48.15491075,Clay,302060
Roland Garros,1978,Paris,2.3470598999999996,48.85885895,Clay,1357256
Birmingham,1978,Birmingham,-86.85013694999998,33.5312374,Grass,503433
Brussels,1978,Brussels,4.37538995,50.85497504999999,Clay,201373
Berlin,1978,Berlin,13.42473175,52.5068441,Clay,201373
London - Queen's Club,1978,London,-0.10159865,51.52864165,Grass,503433
Wimbledon,1978,London,-0.10159865,51.52864165,Grass,1085882
Forest Hills WCT,1978,Forest Hills,-73.84404595,40.72225895,Clay,1208240
Cincinnati,1978,Cincinnati,-84.54040144999998,39.13634005,Clay,503433
Newport,1978,Newport,-71.29900634999998,41.4989764,Grass,302060
Gstaad,1978,Gstaad,7.286546450000001,46.4722248,Clay,302060
Stuttgart Outdoor,1978,Stuttgart,9.1772152,48.77920905000001,Clay,201373
Bastad,1978,Bastad,12.85985845,56.4277899,Clay,302060
Washington,1978,Washington,-120.88227695,47.27298575,Clay,704807
Hilversum,1978,Hilversum,5.1605481,52.23157145,Clay,201373
Louisville,1978,Louisville,-85.67677049999999,38.188805,Clay,704807
Kitzbuhel,1978,Kitzbuhel,12.425144900000001,47.436415000000004,Clay,302060
South Orange,1978,South Orange,-74.25913405,40.748957399999995,Clay,302060
North Conway,1978,North Conway,-71.13036545,44.04565295,Clay,704807
New Orleans,1978,New Orleans,-89.88256344999998,30.03299645,Carpet,302060
Columbus,1978,Colombus,-82.99082899999998,39.98295145,Clay,302060
Indianapolis,1978,Indianapolis,-86.13274999999999,39.7797845,Clay,704807
Montreal - Toronto,1978,Toronto,-79.37805804999998,43.7182412,Clay,704807
Stowe,1978,Stowe,-72.71772254999998,44.48060194999999,Hard,302060
Cleveland,1978,Cleveland,-81.70585994999998,41.497532,Hard,201373
Atlanta,1978,Atlanta,-84.42060395,33.76771289999999,Hard,201373
Boston,1978,Boston,-70.97028399999998,42.31434994999999,Clay,805493
US Open,1978,New York,-73.979681,40.6974881,Hard,1208240
Bournemouth,1978,Bournemouth,-1.8597388,50.75400405,Clay,201373
Hartford,1978,Hartford,-72.68008695,41.76568745,Carpet,302060
Los Angeles,1978,Los Angeles,-118.4117325,34.020478999999995,Carpet,805493
Aix-En-Provence,1978,Aix-En-Provence,5.387946999999999,43.535974,Clay,201373
San Francisco,1978,San Francisco,-122.7278025,37.7848269,Carpet,704807
Maui,1978,Maui,-156.33798269999997,20.80299575,Hard,402747
Madrid,1978,Madrid,-3.67953665,40.437954299999994,Clay,402747
Barcelona,1978,Barcelona,2.14876785,41.39479005,Clay,704807
Brisbane,1978,Brisbane,152.99319645,-27.3821429,Grass,201373
Sydney Indoor,1978,Sydney,150.93197475,-33.84824395,Hard,704807
Tokyo Outdoor,1978,Tokyo,145.02823855,28.16176585,Clay,503433
Vienna,1978,Vienna,16.38005995,48.2206849,Hard,302060
Basel,1978,Basel,7.59445995,47.55459664999999,Hard,302060
Cologne,1978,Cologne,6.96732235,50.95770284999999,Hard,302060
Paris Indoor,1978,Paris,2.3470598999999996,48.85885895,Hard,201373
Tokyo Indoor,1978,Tokyo,145.02823855,28.16176585,Carpet,805493
Hong Kong,1978,Hong Kong,114.1277,22.35272345,Hard,302060
Stockholm,1978,Stockholm,17.982052499999998,59.32614194999999,Hard,704807
Bogota,1978,Bogota,-74.107807,4.64829755,Clay,201373
Taipei,1978,"Taipei, Chinese Taipei",121.50637795,25.0172264,Carpet,201373
Bologna,1978,Bologna,11.3316855,44.499118200000005,Carpet,201373
Buenos Aires,1978,Buenos Aires,-58.43329845,-34.615823750000004,Clay,704807
Manila,1978,Manila,120.9795598,14.5964983,Clay,302060
Calcutta,1978,Calcutta,88.32972875,22.675995800000006,Carpet,201373
Santiago,1978,Santiago,-70.62983129999999,-33.47278795,Clay,302060
Johannesburg,1978,Johannesburg,28.04002455,-26.1715215,Hard,704807
WCT Challenge Cup,1978,"Montego Bay, Jamaica",-77.90478225,18.4711368,Hard,1288789
Sydney Outdoor,1978,Sydney,150.93197475,-33.84824395,Grass,503433
Australian Open,1978,Melbourne,145.0531353,-37.9725665,Grass,1208240
Hobart,1979,Hobart,147.32855635,-42.8823402,Hard,184273
Birmingham WCT,1979,Birmingham,-86.85013694999998,33.5312374,Carpet,644955
Baltimore,1979,Baltimore,-76.62049675,39.284706400000005,Carpet,276409
Philadelphia WCT,1979,Philadelphia,-75.11802829999998,40.002497999999996,Carpet,921364
Little Rock,1979,Little Rock,-92.3379275,34.7240049,Hard,184273
Richmond WCT,1979,Richmond,-77.49326145,37.52466095,Carpet,644955
Pepsi Grand Slam,1979,Boca Raton,-80.11736545,26.3728294,Clay,1105637
Sarasota,1979,Sarasota,-82.5379304,27.3358671,Carpet,184273
Rancho Mirage,1979,Rancho Mirage,-116.433031,33.769856950000005,Hard,921364
Denver,1979,Denver,-104.85511145,39.76433895,Carpet,460682
Lagos,1979,Lagos,3.28395955,6.548055099999999,Hard,184273
Nancy,1979,Nancy,6.173436949999998,48.68808094999999,Hard,184273
San Jose Costa Rica,1979,San Jose,-121.81741295,37.2968617,Hard,184273
New Orleans WCT,1979,New Orleans,-89.88256344999998,30.03299645,Carpet,644955
Dayton,1979,Dayton,-84.20215735,39.8113284,Carpet,276409
Milan WCT,1979,Milan,9.177732249999998,45.46273385,Carpet,737091
Stuttgart Indoor,1979,Stuttgart,9.1772152,48.77920905000001,Hard,276409
Rotterdam WCT,1979,Rotterdam,4.490406299999999,51.92797225,Carpet,644955
Nice,1979,Nice,7.252817049999999,43.70319045,Clay,184273
Cairo,1979,Cairo,31.25846435,30.05948845,Clay,276409
Tulsa,1979,Tulsa,-95.87801045,36.1523015,Hard,184273
Monte Carlo WCT,1979,Monte Carlo,7.42597045,43.741053,Clay,644955
San Jose,1979,San Jose,-121.81741295,37.2968617,Carpet,184273
Houston WCT,1979,Houston,-95.40129145,29.81717795,Clay,644955
Johannesburg,1979,Johannesburg,28.04002455,-26.1715215,Hard,276409
Las Vegas,1979,Las Vegas,-115.23834850000001,36.25512295,Hard,921364
Dallas WCT,1979,Dallas,-96.73154245,32.820664550000004,Carpet,737091
Nations Cup,1979,"Duesseldorf, Germany",6.814350200000001,51.23845475,Clay,921364
Hamburg,1979,Hamburg,10.02768365,53.56728285,Clay,644955
Florence,1979,Florence,11.2409679,43.77995815,Clay,184273
Rome,1979,Rome,12.5359979,41.9100711,Clay,737091
Munich,1979,Munich,11.54183575,48.15491075,Clay,276409
Roland Garros,1979,Paris,2.3470598999999996,48.85885895,Clay,1382046
London - Queen's Club,1979,London,-0.10159865,51.52864165,Grass,460682
Brussels,1979,Brussels,4.37538995,50.85497504999999,Clay,184273
Surbiton,1979,Surbiton,-0.2915472,51.38629339999999,Grass,184273
Berlin,1979,Berlin,13.42473175,52.5068441,Clay,184273
Wimbledon,1979,London,-0.10159865,51.52864165,Grass,1105637
Gstaad,1979,Gstaad,7.286546450000001,46.4722248,Clay,276409
Newport,1979,Newport,-71.29900634999998,41.4989764,Grass,368546
Forest Hills WCT,1979,Forest Hills,-73.84404595,40.72225895,Clay,1105637
Washington,1979,Washington,-120.88227695,47.27298575,Clay,644955
Bastad,1979,Bastad,12.85985845,56.4277899,Clay,276409
Stuttgart Outdoor,1979,Stuttgart,9.1772152,48.77920905000001,Clay,276409
Louisville,1979,Louisville,-85.67677049999999,38.188805,Clay,644955
Hilversum,1979,Hilversum,5.1605481,52.23157145,Clay,276409
Kitzbuhel,1979,Kitzbuhel,12.425144900000001,47.436415000000004,Clay,276409
North Conway,1979,North Conway,-71.13036545,44.04565295,Clay,644955
Lafayette,1979,Lafayette,-92.038569,30.211995,Carpet,276409
South Orange,1979,South Orange,-74.25913405,40.748957399999995,Clay,276409
Columbus,1979,Colombus,-82.99082899999998,39.98295145,Clay,276409
Indianapolis,1979,Indianapolis,-86.13274999999999,39.7797845,Clay,644955
Stowe,1979,Stowe,-72.71772254999998,44.48060194999999,Hard,276409
Montreal - Toronto,1979,Toronto,-79.37805804999998,43.7182412,Hard,644955
Cleveland,1979,Cleveland,-81.70585994999998,41.497532,Hard,184273
Boston,1979,Boston,-70.97028399999998,42.31434994999999,Clay,644955
Cincinnati,1979,Cincinnati,-84.54040144999998,39.13634005,Hard,737091
US Open,1979,New York,-73.979681,40.6974881,Hard,1105637
Atlanta,1979,Atlanta,-84.42060395,33.76771289999999,Hard,184273
Palermo,1979,Palermo,13.35728855,38.1405436,Clay,276409
Los Angeles,1979,Los Angeles,-118.4117325,34.020478999999995,Carpet,644955
San Francisco,1979,San Francisco,-122.7278025,37.7848269,Carpet,644955
Madrid,1979,Madrid,-3.67953665,40.437954299999994,Clay,276409
Bordeaux,1979,Bordeaux,-0.586141,44.86372795,Clay,184273
Maui,1979,Maui,-156.33798269999997,20.80299575,Hard,368546
Barcelona,1979,Barcelona,2.14876785,41.39479005,Clay,644955
Tel Aviv,1979,Tel Aviv,34.797246,32.0879315,Hard,184273
Brisbane,1979,Brisbane,152.99319645,-27.3821429,Grass,184273
Sydney Indoor,1979,Sydney,150.93197475,-33.84824395,Hard,644955
Basel,1979,Basel,7.59445995,47.55459664999999,Hard,276409
Vienna,1979,Vienna,16.38005995,48.2206849,Hard,368546
Tokyo Outdoor,1979,Tokyo,145.02823855,28.16176585,Clay,460682
Cologne,1979,Cologne,6.96732235,50.95770284999999,Hard,276409
Paris Indoor,1979,Paris,2.3470598999999996,48.85885895,Hard,184273
Tokyo Indoor,1979,Tokyo,145.02823855,28.16176585,Carpet,1105637
Stockholm,1979,Stockholm,17.982052499999998,59.32614194999999,Hard,644955
Hong Kong,1979,Hong Kong,114.1277,22.35272345,Hard,276409
Quito,1979,Quito,-78.4305382,-0.18659435,Clay,184273
Bogota,1979,Bogota,-74.107807,4.64829755,Clay,184273
Taipei,1979,"Taipei, Chinese Taipei",121.50637795,25.0172264,Carpet,276409
Bombay,1979,Bombay,72.88118614999998,19.08225075,Clay,276409
Bologna,1979,Bologna,11.3316855,44.499118200000005,Carpet,276409
Buenos Aires,1979,Buenos Aires,-58.43329845,-34.615823750000004,Clay,644955
Santiago,1979,Santiago,-70.62983129999999,-33.47278795,Clay,184273
Johannesburg,1979,Johannesburg,28.04002455,-26.1715215,Hard,644955
WCT Challenge Cup,1979,"Montreal, Canada",-73.73030250000001,45.55804205,Carpet,1179346
Adelaide,1979,Adelaide,138.61115984999998,-35.00076695,Grass,184273
Sydney Outdoor,1979,Sydney,150.93197475,-33.84824395,Grass,368546
Australian Open,1979,Melbourne,145.0531353,-37.9725665,Grass,1289910
Birmingham WCT,1980,Birmingham,-86.85013694999998,33.5312374,Carpet,566197
Baltimore,1980,Baltimore,-76.62049675,39.284706400000005,Carpet,242656
Philadelphia WCT,1980,Philadelphia,-75.11802829999998,40.002497999999996,Carpet,808853
San Juan,1980,San Juan,-66.06047244999999,18.38923745,Hard,242656
Richmond WCT,1980,Richmond,-77.49326145,37.52466095,Carpet,566197
Pepsi Grand Slam,1980,Boca Raton,-80.11736545,26.3728294,Clay,970623
Sarasota,1980,Sarasota,-82.5379304,27.3358671,Clay,161771
Rancho Mirage,1980,Rancho Mirage,-116.433031,33.769856950000005,Hard,808853
Denver,1980,Denver,-104.85511145,39.76433895,Carpet,404426
Salisbury WCT,1980,Salisbury,-75.590059,38.37743795,Carpet,647082
Lagos,1980,Lagos,3.28395955,6.548055099999999,Hard,161771
Cairo,1980,Cairo,31.25846435,30.05948845,Clay,242656
Stuttgart Indoor,1980,Stuttgart,9.1772152,48.77920905000001,Hard,161771
San Jose Costa Rica,1980,San Jose,-121.81741295,37.2968617,Hard,161771
Rotterdam WCT,1980,Rotterdam,4.490406299999999,51.92797225,Carpet,566197
Metz,1980,Metz,6.1964060000000005,49.10485299999999,Hard,161771
Frankfurt WCT,1980,Frankfurt,8.636563800000001,50.121212,Carpet,566197
Dayton,1980,Dayton,-84.20215735,39.8113284,Carpet,242656
